comments,reaction_type
সুন্দর গল্প,positive
অসাধারণ লাগছে,positive
এটা অনেকের মনের কথা,positive
ভালো লগলো শুনে,positive
তোমার ভয়েস টা অনেক সুন্দর,positive
হাজারো মানুষের মাঝে আমার কি মল্য হবে,positive
বাস্তব কথা,positive
গল্পটা অসাধারণ ছিল,negative
অসাধারণ গল্প,positive
অনেক সুন্দর,positive
"আমি রোমানার আপুর বিডিও ছাড়া দেখি না সত্যি বলছি, আর সবচেয়ে ভালো লাগে আপুর কন্ঠটা।",positive
সত্যিই মুভিটা দেখে আমার চোখে পানি চলে এসেছে,positive
খুব সুন্দর,positive
এটা খুব সুন্দর  মুভি,positive
ছবির কাহিনী টা আসলেই অনেক শিক্ষনীয় কিন্তু রুমানা আপুর ভয়েসটা অনেক মিষ্টি ও সুন্দর । না জানি রোমানা আপু টাও কত সুন্দর। দেখতে চাই আপু,positive
আপনার ভাষা চয়ন অনেক ভালো।,positive
", আপনি কথাগুলো যা বলেছেন, কিছুটা হলেও যে তা সত্যি,  এটা অস্বীকার করা অন্যায় হবে। তবে তার সমাধান পরকীয়া নয়। সোজা কান ধরতে না পারলে, নাক ঘুরিয়ে কান ধরার চেষ্টা করা উচিত ছিল।",positive
খুব সুন্দর আপা আপনার বাসা কই,positive
"আমি কোনো ভিডিওতেই কমেন্ট করিনা কিন্তু এটা দেখার পর আপনাকে ধন্যবাদ না দিয়ে পারলানা। আপনাকে অনেক ধন্যবাদ আপু,,,",positive
আমি দেখতে চাই রোমানা আপাকে।উনার বিরাট বড় ফেন আমি,positive
দারুন,positive
আমার কাছে খুব ভালো  লাগছে আপুও আমার চাই এমন একটা ভালো বর  খুঁজে দিবেন আমার জন্য 🫠 আর নয় তোও দোয়া কইরেন আপুও  আমি ই এখনোও অবিহিত মেয়ে কিন্তু তবুও পুরো কাহিনি টা শুনলাম,positive
অসাধারণ একটি মুভি যা অনেকের জীবনে ঘটে কিন্তু কেউ পাপের কাজে যাই আর কেউ যায়না,positive
হায়য়য়য়য় আপনার কথার প্রেমে পড়ে গেছি,positive
অসাধারণ,positive
অসাধারণ,negative
এই মোবাইল ফোন দ্যাসটাকে খায়সে।,positive
আমি জানিনা আপনি ছেলে না মেয়ে কিন্তু আপনার ভিডিওটা আমার কাছে খুব ভালো ভিডিওটা বানিয়েছেন মেয়েদেরকে  ভাই ছেলেদেরকে নিয়ে একটি ভিডিও বানিয়ে ছেলেদের কষ্ট,positive
নতুন মুভি কবে দিবেন,positive
রোমান্স জীবনের একটা অংশ।কিছু নির্বোধের  কারণে জীবন সংগ্রামে ব্যর্থতা ডেকে আনে।,positive
ও মেড্যাম আসোনা তোমার সাথে বলি বউতো নেই,positive
নাইস আপু,positive
থাকো টিকটকে ভিডিও পোস্ট করে আবার আসতাছি ️️,positive
ঠিকই বলেছেন,positive
নাইচ,positive
সঠিক কথাগুলো,positive
এই মভিটা আমার  চোখে পানি ুসে গেছে,positive
"রোমানাতে  এ ভরা,",positive
আপু তোমার কথা গুলো ভালো লাগছে,positive
হায় রুমানা আপি,positive
গল্প টা অনেক টা আমার সাথে মিল আছে,positive
আসসালামুয়ালাইকুম আপু আপনাকে অসংখ্য ধন্যবাদ যদিও আমি আমার স্ত্রীর সঙ্গে সবকিছুই করি আপনার এই ভিডিওটা অনেক পুরুষেরই চোখ খুলে যাবে,positive
মুভি টার নাম কি।,positive
নাইস মুভি,positive
হানডেট পারসেন শিওর,positive
রোমানা আপু আপনার বাড়ি কোথায় আমরা আপনাকে দেখতে চাই,positive
রুমানা  খুব মিস করি তোমাকে,positive
"রাইট,  আমি একমত",positive
চরম সত্য কথা,positive
কথাটা সত্যি,positive
এর ???,positive
আমিকিআপনার পরিচয় পাবো কথায় বারিদয়াকরে জানাবেন আপনার ভিডিও অনেক দেখছি অনেক সুন্দর দোয়া করি এবং করবেন,positive
কী জে লিখবো বুজতে পারছিনা,positive
মুভির নাম কি,positive
সঠিক কথা।,positive
রুমানা আপু আই লাভ ইউ,positive
ম্যাডাম আমার ভালো লেগেছে,positive
মুভির নাম কি?,positive
মুভির নাম কি?,positive
মুভির নাম কি?,positive
মুভির নাম কি?,positive
মুভি টার নাম কি সেটা তো বলেন..?,positive
এক।দম।সঠিক কথা,positive
পরকিয়া এমনিতেই অনেক মজা,positive
মুভির নাম কি ?,positive
"গল্প গল্পই। ইহকাল সংকীর্ণ আর পরকাল সীমাহীন। মৃত্যু অনিবার্য, বেঁচে থাকা সম্পূর্ণরূপে অনিশ্চিত।",positive
হ্যাঁ ভাইয়া এটা সব পুরুষেরই মহিলার প্রতি করার দায়িত্ব,positive
মুভির নামটা কি??,positive
মুভির নাম কি?,positive
মুভির নাম কি?,positive
মুভির নাম কি?,positive
আলহামদুলিল্লাহ আমি রুমানা একজন হাফেজ সাহেবের স্ত্রী,positive
মুভির নাম কি?,positive
মুভির নাম কি,positive
মুভির নামটা কি,positive
মুভির নামটা লিখে দিলে কি হত ?,positive
ঠিকই বলেছেন,positive
মুভিটার নাম কি?,positive
মুভির নাম কি,positive
মুভির নামটা কি?,positive
সিনেমার নাম কি?,positive
টাইমলাইনে মুভির নামটা লিখে দিলে ভালো হতো,positive
আসসালামু আলাইকুম  আপনার উপস্থাপনা অনেক ভাল। তবে মোভিটির  নামটি ভালভাবে বলেন নি যা বুঝা যায় না। সম্ভব হলে লিংক দিন এবং নামটি লিখে দিন।,positive
মুভির নাম ডিস্প্লেতে শো করান  আপু,positive
মুভিটির নাম কি?,positive
মুভি টার নাম ভালো করে একটু বলে দিন,positive
থ্যাংকস আপু ভিডিওটা আমার খুব ভালো লাগছে এই ভিডিওটা আমি আমার হাজব্যান্ডকে পাঠাইছি,positive
মুভিটার নাম কি,positive
মুভিটির নাম কি?,positive
একদম।ঠিক,positive
মুভি টার হিন্দি নাম কী?,positive
মুভিটার নাম কি,positive
মুভিটার নাম কি??,positive
আপু আপনার কথা গুলো আমার অনেক ভালো লাগে  মাইন করবেন না আমি একটা মেয়ে ছেলে না,positive
আপনার কথাগুলো ঠিক আছে তবে কিছু কিছু মেয়ের স্বভাবে ঐরকম থেকে থাকে সে যতই ভালোবাসা পাক না কেনো সে যেই ছেলেকে দেখবে সেই ছেলেকেই কাছে পেতে চাইবে কারন সে একজন দুশ্চরিত্র মেয়ে তাকে যতই ভালোবাসা দাও না কেনো তার মন পরিবর্তন করতে পারবেন না ।,positive
‌প্রেমিক হওয়া খুব সহজ স্বা‌মি হওয়া সহজ নয় ম্যাডাম।,positive
ছবির নাম কি?,positive
মুভির নামই কি?,positive
অনেক কিছু সেখার আছে,positive
"আমি আপনার বড় প্রেন্ড,, আমি দেখতে চাই আপনাকে",positive
ঠিক,positive
আমার নাতনির নাম রোমানা তাই তো কথা বলতে নাই মানা। গল্গটা দারুন সুন্দর থাকুন সবাই আল্লাহ নির্ভর।,positive
"জিনিয়াস,  ভিডিও কন্টেন্ট",positive
প্রেমিক আর স্বামী এক না তারা চাইলেও সব কিছু করতে পারে না সারাদিন পরিশ্রম করে শরিলে এনার্জি ও থাকতে হয় সবার খাবার তাদের সন্তানের ভবিষ্যৎ সব কিছু চিন্তা করতে হয় স্বামীর,positive
এটাই বাস্তবতা।।।।,positive
স্বামী স্ত্রীর উভয়েরই কর্তব্য একে অপরকে মানষিক ও শারীরিক শান্তি দেওয়া।,positive
মুভির নাম কি? কিছুতেই বুঝতে পারলাম না,positive
আপু আপনার বাসা কোথায়?,positive
"গল্পটা খুব সুন্দর, তবে যদি কোনো ছেলেরা শুনে তাহলে আমার মনে হয় উপকৃত হবে",positive
গল্পটা আমার জীবনের সাথে মিলে গেছে তবে পরকিয়াটাই করলাম না।,positive
এই মুভিটার নাম কি? একটু বলো কেউ প্লিজ,positive
ছবিটি নাম লিখে দিলে বেশি ভালো হয়,positive
মুবি নাম কি??,positive
কি বলবো আর আমরা অপরাধীকে দোষী বলার আগে কেন সে অপরাধ করে সেটা দেখি না প্রতিটি মানুষই সম্ভাবনা নয়,positive
নাম কি,positive
রোমানা আপু একটু কথা বলবেন প্লিজ..?,positive
সংসারে আগুন ধরিয়ে দেয়া মুভি,positive
আসলে এই মুবি অনেক মানুষের ভীতরেই চেঞ্জ আনবে।,positive
আমি ও দেখতে চাই,positive
"মুভি টার নাম কি ভালো করে বলুন ,আপনার কথা ঠিক বুজলাম না ,জানাবেন প্লিজ।",positive
"মুভি টার নাম কি ভালো করে বলুন ,আপনার কথা ঠিক বুজলাম না ,জানাবেন প্লিজ।",positive
বাস্তবতার গল্পটি,positive
"হায় রোমানা আপি, যদি পারেন ছবিটির লিংক দিবেন প্লিজ, ধন্যবাদ",positive
নাম টা বুঝতে পারছি না লিখে দেন।,positive
১০০% সঠিক ম্যাডাম,positive
কিন্তু আপু আপনার কথা গুলি বেশি ভালো লেগেছে,positive
তবে আপু আমরা যারা ইসলাম ধর্ম মানি আমাদের সবক্ষেত্রে ইসলাম পলো করে করা উচিৎ,neutral
হুম,neutral
ঠিক আপু পুরুষ রা এসব বুঝতে পারে না নিজের বউ ভালো লাগে না পাশের বাসার বাবি কে খুব ভালো লাগে তাদের কাছে,neutral
মাইয়াগো চয়েস রুচি,neutral
আমি দেখতে চাই,neutral
আপু আপনি কোথাকার,neutral
পরকীয়া খুব খারাপ     এর উচিত বউয়ের প্রতি খেয়াল রাখা কাজ এবং বউ দুইটার দিকে মনোযোগি হওয়া,neutral
মুভির নাম টা বুজতে পারিনি,neutral
"মুভির নাম টি কী কেউ বলতে পারবেন,,  মুভির নাম টা ঠিক বুঝতে পারলাম না",positive
হিসাব দিতে হবে গাঁজার মার্কেটিং করার জন্য হলেও।,negative
"যে মেয়ে সংসার করবে""তো করবেই হা এটিই বাস্তবতা 🇮🇳",positive
মুভির লিংকটি দিন,positive
মিস রোমানা আমি আপনার ফিলিংস বুঝতে পারলাম। আমি আপনার প্রেমে পড়ে গেলাম  হবে নাকি আমার,neutral
মুভি এক্সপ্লেইনার খুব এক্সাইটেড,positive
প্লিজ আপু  আমি আপনাকে একটু দেখতে চায়,positive
"শোনেন এক্সপ্লেইন করেন ভাল কথা,  কিন্তু মুভিটার নাম দিলে টাইটেলে কি এমন ক্ষতি হত?",positive
"আপনি খুবই রসিক, কথায় বুঝতে পারি,",neutral
রুমানা ম্যাডাম আপনাকে অসংখ্য অসংখ্য ধন্যবাদ আপনার মাধ্যমে সংসার সুখী  ময়  হওয়ার জন্য অনেক গুরুত্বপূর্ণ কিছু তথ্য পেলাম ফিল্ম শুধু মানুষকে নষ্ট করতে শেখায় না ফিল্ম মানুষকে ভালো কিছু করতেও শেখায় কিছু ভাই কোরআন এবং নবীজির   কথা বলেছেন আমি আপনাদের সাথে একমত কিন্তু আমরা তো কোরআন এবং হাদিস পড়িনা এবং ওয়াজ মাহফিলে তেমন একটা যাওয়া হয় না তাই আমাদের ইসলাম সম্পর্কে তেমন জ্ঞান নাই তবে রুমানা ম্যাডামের মাধ্যমে যে তথ্যগুলি জানতে পারলাম তার জন্য রুমানা ম্যাডাম কে অজস্র কোটি ধন্যবাদ আর আল্লাহ সুবহানাতায়ালা রুমানা ম্যাডামের কন্ঠ যে কি দিয়ে বানিয়ে দিয়েছে তার বলার ভাষা রাখে না রুমানা ম্যাডামের কথা শুধু শুনতেই মন চায় শুনতে মন চায় শুনতে মন চায় যদি আমার কাজকর্ম না থাকতো তাহলে রুমানা ম্যাডামের  কণ্ঠ সারারাত শুনেই যেতাম রুমানা ম্যাডামের প্রতি দোয়া ও শুভকামনা রইল আল্লাহ যেন আপনাকে সুস্থ রাখেন আমিন,neutral
এই মুভিটাতে নিজেকে খুঁজে পায়ছি,neutral
রোমানা আপু আপনাকে আমি দেখতে চাই,neutral
মুভির লিংক টা কেউ দেন না প্লিজ।,neutral
আপু এই মুভির নামটি একটু দিয়েন আর যদি ছবি লিংকটা থাকে তাহলে আরো ভালো হয়,neutral
আমার সাথে  এমন হয়,neutral
এই ফুভিটা এক্সপ্লেইন চাই চাই,neutral
আসসালামু আলাইকুম আপু আসলে আপনাকে কি বলে ধন্যবাদ,neutral
দুনিয়া ক্ষনিকের আল্লাহর ভয় না থাকলে পরকিয়া শেষ হবে না,neutral
"90% পুরুষ ‌এরকম,যারা বিছানাই গিয়ে কোন কথা ছাড়াই ডাইরেক্ট একশন নেই। এটা খুব কষ্টের । সিনেমা বলেই হামিদ শেষে চেঞ্জ হ‌ইছে।বাস্তবে পূরুষ মৃত্যু পর্যন্ত এমনি থাকে। আর মহিলারা স্বামী সুখ জীবন থেকে ত্যাগ দিয়ে শুধু সন্তানদের মাঝে সুখ খুজে বেচে থাকে।আর যে ক'জন মহিলা তা পারে না তারা পরকিয়াই জড়িয়ে যায়।",neutral
"আপু অসাধারন!    কিন্তু একটু জানার ইচ্ছা,  এই ভিডিও গুলি কি   ?   নাকি   দিয়ে করা ??",positive
"ছবিটির নাম রিপ্লেতে লিখে দিবেন প্লিজ, ছবির নামটা কি বলছিলেন, আমি সেটা কয়েকবার শুনার পরও বুঝতে পারিনি। এটা বাস্তবতা 🫡",positive
আমি ও চাই,positive
এমন সাহিদদের ভালোবাসার জন্য ই ফেরদৌস রা পাগল থাকে।,positive
পাগলে কিনা কয় ছাগলে কিনা খায়,positive
সবাই যদি এমন হত তাহলে পরকীয়া হত না,positive
"আস সালামু আলাইকুম, রোমানা আপু আপনি একজন নারী তাই আমি আপনাকে দেখার আবদারটা করব না, আপনার জন্য দোয়া করছি যেন আল্লাহ আপনার জীবনের সমস্ত পাপ মুছন করে নিস্পাপ করে দেন এবং ভবিষ্যতে আল্লাহ আপনাকে পাপ বা গুনাহ থেকে বেচে থাকতে সাহায্য করেন। এই ধরনের ভিডিও প্রত্যেক পুরুষের দেখা উচিৎ।",positive
আমার স্বামী আমার সাথে খুনশুটি করে।তবে আপু আপনার কথা গুলো মূল্যবান ভালো লাগছে,positive
আমার তো ডাবিং গার্লকে নিয়া লুটুপুটু করতে মন চাইছে,positive
আপু দিলেন তো বিপদে ফেলে।বউকে তো আবার নতুন করে ভালবাসতে হবে?,positive
আচ্ছা,neutral
সঠিক,neutral
আপনি কারেক্ট  একদম কারেক্ট,positive
জীবন বড়ই বিচিত্র এমন ঘটনা ছেলেদের সাথেও হয়ে থাকে হুবহু।,positive
মুভির নাম  অ্যাড করলে কি  কোন  প্রব্লেম হই নাকি? ফালতো |,negative
ছবির চাইতে  আপনার একছাইটমেনট বেশি,positive
ভিডিওতে তুমি মুভির নাম বলো না কেন,positive
তোমাকে চাই,positive
দিলে দেন না দিলে না দেন,positive
ঘরের কথা পরে জানলো কেমনে। এই যে এমনে,positive
আমারও খুব ভালো লাগে স্বামী রোমান্টিক হলে,positive
"আপু জি আপনি খুব চালাক,,,  এতোটা চালাক যে, আপনি মুভির নাম টা যে ভাবে বললেন যে, ২০ বার সুনার পরও নাম টা ঠিক টা বুঝতে পারিনি,",positive
সিনেমার নাম টা কারোর জানা আছে???,neutral
তুমি এতো বোঝ কেমনে।।,neutral
আমার বউ তো রোমান্টিকই না ক্ষেত একটা তখন আমি কি করবো,neutral
কিরে আপু ভিডিও আর আসে না কেন,neutral
নামটা স্পষ্টভাবে বলতে পারেন না!,neutral
"মেডাম, আমি ফেরদৌসের মত। আমার বউ হামিদের মত। কি করা যায়?",neutral
আমার সমস্ত হৃদয় দিয়ে বলেছি গল্পটা  কেমন লাগলো অবশ্যই জানিও একটা লাইক করে দিও   2: ://./1aLCx3rc_V4,neutral
আমার সমস্ত হৃদয় দিয়ে বলেছি গল্পটা  কেমন লাগলো অবশ্যই জানিও একটা লাইক করে দিও   2: ://./1aLCx3rc_V4,neutral
প্রথম ভালোবাসা সব সময় ভুল মানুষের সাথেই হয় কে কে এক মত জানাও,neutral
কিছু কিছু স্মৃতি যত বার মনে পড়বে ততবার মানুষ কাঁদবে।,neutral
ভালোবাসা চোখের আড়াল  হলেও মনের আড়াল  হয় না।,neutral
জিবনের প্রথম প্রেম রিয়েল হয় আর সেটা ভুল মানুষের সাথে ভালো থাকুক আমার না হওয়া সেই প্রিয় মানুষ টা,neutral
আলহামদুলিল্লাহ যাকে ভালোবেসেছি তাকেই পেয়েছি️,neutral
প্রথম প্রেম কেউ ভুলতে পারে না ।,positive
"জীবনের ফাষ্ট লাভ কেও কখনো ভুলতে পারে না,,,,,কিছু না কিছু সৃতি থেকে যাবেই,,,,,,,,,",neutral
"এই মুভিটা প্রথম দেখি ২০১৯ সালে,, যেদিন দেখি সেদিন আমি অনেক কেদেছি,, মুভি দেখার ২-৩ দিন পর্যন্ত মন ভার হয়ে ছিল,, রেশটা যেন কাটছিলোই না,, এখনো মন খারাপ হলে এই মুভিটা দেখি,আর কান্না করি,, এই কান্নাটা অনেক সুন্দর একটা অনুভূতি।",neutral
ভাইরে ভাই সত্যি বলতে অসাধারণ তাই কমেন্ট না করে ভাই পারলাম না।  যেমন ব্যাকগ্রাউন্ড মিউজিক তেমন সুন্দর গল্প আর অসাধারণ গলার স্বর + বলার স্টাইল।  সব মিলিয়ে একদম পারফেক্ট,positive
"প্রথম প্রেমের অনুভুতি গুলো বার বার হৃদয়ে  আঘাত করে, পুরনো সৃতিগুলো মনে পরে গেলো",positive
আমারো ঠিক  এমন একটা প্রেম চিলো,positive
আসলেই প্রেম সবার জীবনে আসে না আর যার জীবনে আসে প্রেম সে এত সহজে ভুলে যেতে পারেনা। প্রথম প্রেম তো জীবনে একটা স্মৃতি হয়ে থাকে যা কখনো বলার নয়। বেঁচে থাকুক সবার জীবনে প্রথম প্রেম,positive
"২০২১ এর প্রথমেই দেখেছিলাম , মন ছুঁয়ে গেছিলো এমন একটা গল্প , তার পর দ্বিতীয় বার দেখার সাহস করিনি  টা, এতো দিন পর তোমার এই  টা দেখতে সত্যিই ইচ্ছা হলো, খারাপ হলে সত্যিই নিন্দা করতে ছাড়তাম না কারণ বেশ প্রিয় সিনেমাটা , কিন্তু বলতেই হয় যে তোমার এই গল্প বলাটা অনেক ভালই হয়েছে ,     র  ছাড়িয়ে গেছে ,    ️",neutral
"সত্যি অসাধারণ, কোনো মুভি দেখে বা  দেখে কখনো কমেন্ট করি না। কিন্তু মুভির কাহিনী টা আর আপনার সুইট ভয়েস কখন যে মুভির ভিতর হারিয়ে গেলাম। আর চেষ্টা করতে ছিলাম মুভিটা যেন শেষ না হয়ে যায়।",positive
ভালোবাসা দূর থেকেই সুন্দর,positive
অবৈধ প্রেম ভালোবাসা কখনো পবিত্র হয় না,neutral
"আমার দেখা সেরা লাভ স্টোরি এটা । অভি খুব সুন্দর  এক্সপ্লেইন করেছ ,অনুভূতি মেশানো একটা ভিডিও ।",neutral
"আমার দেখা সবচেয়ে সেরা মুভি, মন ছুয়ে গেছে অসাধারণ",neutral
আপনি খুব সুন্দর ভাবে ব্যাখ্যা দেন  আপনার কথা শুনলে বুঝতে পারি যে  প্রত্যেক টা ছোটো ছোটো জিনিস এ  আমাদের জীবনে  অনেক মূল্য রয়েছে,positive
জীবনে প্রথম প্রেম মানে আলাদা এক অনুভতি,positive
আমার ও মনে পরলো আমার সেই প্রথম প্রেম এর সৃতির কথা যা আজ হারিয়ে গেছে কিন্তু প্রথম প্রেম হয়ে  রিূদয়ে থেকে গেছে,positive
এটা সত্যিই অনেক কিছু মনে করিয়ে দিলো️️️,positive
"আনেক সুন্দর,,,,,,আর সব চেয়ে৷, আপনার বলার প্রতিটা কথা।",positive
অনেক ভালো লাগছে ভাইয়া।পরের পার্টটা তারাতারি দিও,positive
বলে বুঝাইতে পারবো না ঠিক কেমন লেগেছে ।  শুধু একটা কথাই বলবো হ্রদয় ছুয়ে গেছে ।।।।,negative
কয়েকবার দেখছি। যতবারই দেখছি মনে একটা অজানা কষ্ট হয়। চোখে পানি আসে। এমন একজন মুভিটা দেখতে বলছিল যার সাথে হয়তো আর কখনো দেখা হবে না।,negative
এমন স্টোরি দেয়ার জন্য,positive
"ভাই প্রেম মানেই এখন অশ্লিলতা,,,,   কিন্তু এই মুভিটি মনের মধ্যে কেমন যেদ দাগ কেটে গেল,,, ভাই ছোট বেলার একটা ভাইব পেয়ে গেলাম,,, কাওকে আজ ভিষণ মনে পড়লো,,,,",positive
এইরকম এক্সপ্লেইন প্রথমবার দেখেছি।  খুব ভালো হয়েছে,positive
"গল্পটা সুন্দর, আর আপনার উপস্থাপনটা আরো বেসি ভালো লেগেছে, সামনেও এমন ভিডিও আরো চাই",positive
খুব খুব খুব ভালো লেগেছে স্যার,positive
আমরা যে মানুষটাকে মন থেকে একবার ভালোবাসি। সে নামটা হৃদয় থেকে কখনো মুছা যায় না,positive
সত্যিই মন ছোঁয়ার মতো একটা গল্প,positive
যতোবার ই দেখেছি ততোবার ই কেদেছি।  আজোও আবার কাদলাম।  ভালোবাসা এমন ই হয়।  অনুভুতি  কখনো পুরোনো  হয় না।,positive
নতুন কিছু  করেছেন তাই এটা দেখে খুব ভালো লাগলো,positive
গল্পটির কাহিনি আমার হৃদয়ে মিশে গিয়েছে,positive
অনেক ভালো লাগছে  ভিডিও টা,positive
অনেক কান্না করলাম মুভিটা দেখে,positive
অনেক হৃদয়ছোঁয়া একটা গল্প। ️️,positive
সত্যি অসাধারণ এরকম ভালোবাসা এই সময়ে আর নাই,positive
"সত্যি গল্পটা অমাইক,",positive
"অসাধারণ ভালো লাগলো, সত্যি কারের ভালোবাসা তুলে দরা হয়েছে,",positive
"টাইটেল দেখে ভাবলাম কেমন হবে মুভি টা। কিন্তু সত্যিই অসাধারণ ছিলো,বিশেষ করে আপনার মুভি পরিবেশন করা টা বেশ ধারুন হয়েছে। ছোটবেলা টা মনে করিয়ে দিল সেই স্কুল লাইফের গল্প️",positive
__ভালো থাকুক সে সকল ভালোবাসা গুলা  যে ভালো ভালোবাসা আজ ও সৃতি আর অপূর্নতার বাতাশ হয়ে গাঁয়ে লাগে! প্রিয় মানুষ টা যেখানে থাকুক ভালো থাকুক,positive
"11 এর শেষের দিক....স্কুল জীবন প্রায় শেষ হতে চললো....কিন্তু এখনও মনে পড়ে আগের স্মৃতি গুলো যখন 8,9,10এ পড়তাম...কত সুন্দর ছিল সেইসব দিন...এই   দেখে আবার মনে পড়ে গেলো সেই ছোট্ট ছোট্ট মুহূর্ত গুলোর কথা....মনের স্মৃতিকোঠাই ধরে রাখলাম নানা অনুভূতি মেশানো স্মৃতি গুলো",positive
এই রকমের গল্পঃ শুনে চুখে জল এসে গেল. এতো ভালো লাগলো গল্পঃ টা,positive
এই মুভিটা আমার জীবনে দেখা সবচেয়ে সেরা মুভি। ️️,positive
"ভাই খুব ই চমৎকার হইছে।   এটা দেখে,  ক্ষণিকের জন্য অতীতে চলে গেলাম।",positive
অসম্ভব সুন্দর  আপনার এক্সপ্লোরেশন করাটা আরো সুন্দর,positive
এই রকম বিডিও আরো দন ভাই প্লিজ প্লিজ প্লিজ প্লিজ,positive
আসলেই এটা কোন মুভি নয় । এটা হলো একেকটা ভেঙে যাওয়া হৃদয়ের গল্প । হাজারো না পাওয়ার একতরফা ভালোবাসার গল্প ।।।,positive
এইবকরের গল্প বলার ধরন টা আরো বেসি ভালো লেগেছে ভাই,positive
"ভাইরে, সেরা৷ দারুন করেছো। অনন্য উপস্থাপনা।",positive
দাদা আমার কান্না এসে গেছে গল্পে,positive
মন টা ছুয়ে গেলো  সত্যি অসম্ভব সুন্দর ছিলো ছবিটা ️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️,positive
ভাইয়া অনেক সুন্দরভাবে উপস্থাপন করেছেন ভিডিও টা।আপনাকে অনেক ধন্যবাদ,positive
ভাই খুব ভালো হয়েছে আমি অনেক আগে মুভিটা দেখেছিলাম খুবই ভালো লাগল,positive
খুব খুব ভালো  লাগলো আমার ভালো বাসার কাহিনী টা অনেক টা এই রকম,positive
পুরনো কথাগুলো মনে পড়ে গেল,positive
অনেক ভালো লাগছে গল্পটা ৷ ভালো....র  মানুষ টা অসুস্থ আল্লাহ যেন তাকে সুস্থ করেন ৷,positive
"সিরিয়াস তোমার ভয়েস ইয়ার ফোন শুনতে এতো ভালোছিলো ভাবতেই পারিনি, আলহামদুলিল্লাহ অনেক সুন্দর হয়েছে অভি ভাইয়া",positive
অসাধারণ.. মুগ্ধ হয়ে গেলাম মিউজিক আর ভয়েস সবমিলিয়ে অসাধারণ এর চাইতে বেশি বলে বুঝানো যাবে না কতোটা ভালো লেগেছিল অন্য জগৎ এ চলে গিয়েছিলাম,positive
খুব সুন্দর হয়েছে মুভিটা,positive
"জীবনে আমার একটা স্মৃতি আছে সেটা  খুব কষ্টকর,,,  কিন্তু জীবনে একটা মানুষে কে কোনো দিন ও ভুলতে পারবো না আর চেষ্টা ও করি না, না ভোলার",neutral
খুব ভালো লাগছে আপনাদের সেই  সেরা লাভ স্টোরি।️️,positive
সত্যিই খুব অসাধারণ ️️️️,positive
ধন্যবাদ ভাইয়া। এ রকম একটা মুভির কাহিনি বলার জন‍্য। যে কাহিনী শুনে নিজের অজান্তেই চোখ ভিজে গিয়েছে। অবিরাম ভালোবাসা ভাইয়া।,positive
অনেক সুন্দর কন্ঠ আপনার। ভিডিও গুলো দেখি শুধু আপনার কোকিলের কন্ঠ শুনার জন্যে,positive
.. সত্যি গল্পটা অসাধারন! হৃদয় ছুয়ে গেলো!! এই রকম আরো গল্প শোনা র জন্য অপেক্ষায় রইলাম!,positive
খুব সুন্দর একটা মুভি।।96,positive
ভাইয়া    তাড়াতাড়ি দিন!!! ️️,positive
"সময়ের অভাবে ছবিটা পুনরায় দেখতে পারিনা। কিন্তু আপনার ভিডিও টা তো দেখাই যায়,  মাঝে মাঝে এসেই দেখি,  অসাধারণ",positive
ভাইয়া আপনি এই গল্প টা অনেক ভালো লাগছে আমার ️️️,positive
"মনে হচ্ছে এটা আমার আর আমার প্রিয় মানুষের গল্প,এখন এক বাচ্চার মা তবুও কেনো জানি  গল্প টা দেখে কষ্টে বুক ফেটে যাচ্ছে",positive
"আহারে অতীত আহারে স্কুল জীবন আহারে জীবন কত তাড়াতাড়ি পিছনে চলে যায়? আর আসে না,আর ফিরে আসে না,কখনোই না।",positive
গল্পটা এখনও দেখিনি। কিন্তু এইটুকু বিশ্বাস আছে যে আপনার  এর  মানে সব  অসাধারণ।️ আমার মনে হয় আপনার কন্ঠ  গুলোকে আরো অসাধারণ করে তুলে।️ অনেক ভালোবাসা রইল বাংলাদেশ থেকে ️🇧🇩,positive
না দেখলে মিস করতাম এত সুন্দর একটি গল্প   দাদা এত সুন্দর ভাবে  করার জন্য ধন্যবাদ।️️,positive
কমেন্ট গুলো দেখলাম আর মনে হলো যে একবার এই মুভি টা দেখে আসি সত্যি অসাধারণ খুবই সুন্দর মুভি টা,positive
আলহামদুলিল্লাহ অনেক সুন্দর,positive
ভাইয়া খুব খুব সুন্দর লাগলো,positive
কিছু বলার ভাসা নেই সুধু বলবো অসাধারণ,positive
"এটা আমার লাইফ স্টোরি,,,,,  কিন্তু অনেক টা বছর পরে আমি নিজেও জানুর মতোই এগিয়ে যাওয়ার চেস্টায় আছি,,,,,  অনেক ধন্যবাদ, ভাই,,,  আর বিজয় স্যার কে ভালোবাসার আরেক টা কারন আজকে দেখালেন আপনি,,,",positive
অসাধারণ বলার কোনো ভাষা নেই,positive
অনেক সুন্দর ও ভালো লাগলো দেখে,positive
অসাধারণ হয়েছে ভিডিওটা।,positive
ভালোবাসা সত্যি অনেক সুন্দর,positive
ভাই আমার লাইফ এর সবচেয়ে সেরা মুভি এটা️ দেখলেই কেন জানি চোখের এক কোনে পানি চলে আসে,positive
খুব সুন্দর হয়েছে  গল্পটা  ️️,positive
